X,palabras.word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,grupo_palabras
1,hijo,0,0,0,0,0,0,0,0,0,0,1
2,brahmán,0,0,0,0,0,0,0,0,0,0,1
3,sombra,0,0,0,0,0,0,0,0,0,0,1
4,casa,0,0,0,0,0,0,0,0,0,1,1
5,bajo,0,0,0,0,0,0,0,0,0,0,1
6,sol,0,1,0,0,2,0,1,1,0,2,1
7,orilla,0,0,0,0,0,0,0,0,0,0,1
8,río,0,0,0,0,0,0,0,0,0,0,1
9,junto,0,0,0,0,0,0,0,0,0,0,1
10,barcas,0,0,0,0,0,0,0,0,0,0,1
11,sombra,0,0,0,0,0,0,0,0,0,0,1
12,bosque,0,0,0,0,0,0,0,0,0,0,1
13,sauces,0,0,0,0,0,0,0,0,0,0,1
14,huerto,0,0,0,0,0,0,0,0,0,0,1
15,higueras,0,0,0,0,0,0,0,0,0,0,1
16,creció,0,0,0,0,0,0,0,0,0,0,1
17,siddhartha,0,0,0,0,0,0,0,0,0,0,1
18,hermoso,0,0,0,0,0,0,0,0,0,0,1
19,hijo,0,0,0,0,0,0,0,0,0,0,1
20,brahmán,0,0,0,0,0,0,0,0,0,0,1
21,joven,0,1,0,0,1,0,1,0,0,1,1
22,halcón,0,0,0,0,0,0,0,0,0,0,1
23,compañía,0,0,0,0,0,0,0,0,0,0,1
24,govinda,0,0,0,0,0,0,0,0,0,0,1
25,amigo,0,1,0,0,2,0,0,2,0,2,1
26,hijo,0,0,0,0,0,0,0,0,0,0,1
27,brahmán,0,0,0,0,0,0,0,0,0,0,1
28,sol,0,1,0,0,2,0,1,1,0,2,1
29,orilla,0,0,0,0,0,0,0,0,0,0,1
30,río,0,0,0,0,0,0,0,0,0,0,1
31,bronceando,0,0,0,0,0,0,0,0,0,0,1
32,claras,0,0,0,0,0,0,0,0,0,0,1
33,espaldas,0,0,0,0,0,0,0,0,0,0,1
34,baño,0,0,0,0,0,0,0,0,0,0,1
35,abluciones,0,0,0,0,0,0,0,0,0,0,1
36,sagradas,0,0,0,0,0,0,0,0,0,0,1
37,sacrificios,0,0,1,1,0,1,0,0,1,0,1
38,religiosos,0,0,0,0,0,0,0,0,0,0,1
39,sombra,0,0,0,0,0,0,0,0,0,0,1
40,infiltrando,0,0,0,0,0,0,0,0,0,0,1
41,negros,0,0,0,0,0,0,0,0,0,0,1
42,ojos,0,0,0,0,0,0,0,0,0,0,1
43,bajo,0,0,0,0,0,0,0,0,0,0,1
44,bosquecillo,0,0,0,0,0,0,0,0,0,0,1
45,mangos,0,0,0,0,0,0,0,0,0,0,1
46,curso,0,0,0,0,0,0,0,0,0,0,1
47,juegos,0,0,0,0,0,0,0,0,0,0,1
48,infantiles,0,0,0,0,0,0,0,0,0,0,1
49,escuchar,0,0,0,0,0,0,0,0,0,0,1
50,canto,1,1,0,0,1,0,1,0,0,1,1
51,madre,0,1,0,0,1,1,0,1,1,1,1
52,sacrificios,0,0,1,1,0,1,0,0,1,0,1
53,religiosos,0,0,0,0,0,0,0,0,0,0,1
54,seguir,0,0,0,0,0,0,0,0,0,0,1
55,enseñanzas,0,0,0,0,0,0,0,0,0,0,1
56,padre,0,0,0,0,0,0,0,1,0,0,1
57,sabio,0,0,0,0,0,0,0,0,0,1,1
58,pláticas,0,0,0,0,0,0,0,0,0,0,1
59,maestros,0,0,0,0,0,0,0,0,0,0,1
60,hacía,0,0,0,0,0,0,0,0,0,0,1
61,tiempo,0,1,0,0,0,0,0,0,0,0,1
62,siddhartha,0,0,0,0,0,0,0,0,0,0,1
63,participaba,0,0,0,0,0,0,0,0,0,0,1
64,discusiones,1,0,1,1,0,1,0,0,1,0,1
65,sabios,0,0,0,0,0,0,0,0,0,0,1
66,ejercitaba,0,0,0,0,0,0,0,0,0,0,1
67,govinda,0,0,0,0,0,0,0,0,0,0,1
68,oratoria,0,0,0,0,0,0,0,0,0,0,1
69,polémica,0,0,0,0,0,0,0,0,0,0,1
70,arte,0,1,0,0,1,1,1,0,0,2,1
71,contemplación,0,0,0,0,0,0,0,0,0,0,1
72,ritual,0,0,0,0,0,0,0,0,0,0,1
73,ensimismamiento,0,0,0,0,1,0,0,1,0,1,1
74,sabía,0,0,0,0,0,0,0,0,0,0,1
75,pronunciar,0,0,0,0,0,0,0,0,0,0,1
